CAN DOI KE TOAN	 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	Q4 2011	 2010	Q4 2010	 2009	Q4 2009
Tài sản ngắn hạn###Current Assets	1548657	1622783	6001354	6379673	5368441	6141774	6745417	5971486	8979917	7362361	7505804	10937694	11815860	10029956	8372662	8200200	7239493	5530393	4606369	3935355	2933079	3294703	3594570	3456994	3456994	7381433	7381433	5637587	5637587	5456323	5456323	521015	521015	11	11
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	261393	292049	1072460	269382	228295	228295	279259	353883	272134	173106	173106	282405	190823	1482982	170397	170397	304176	41489	129349	18714	18714	11026	15686	49226	49226	349665	349665	619371	619371	670603	670603	115927	115927	11	11
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	151424	149440	91772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	747597	747597	1360497	1360497	2206997	2206997	1209733	1209733	876900	876900	380000	380000	327056	327056	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	846162	828785	2733963	2210909	1276290	1277987	1809805	2612320	4821271	2649548	2588326	3951132	3755562	3045429	2973939	3179254	1940089	992689	2890219	1789312	1789297	1554779	1781703	834562	834562	896962	896962	1281833	1281833	1140704	1140704	77726	77726	0	0
Hàng tồn kho###Inventory	205044	305072	1894988	3343857	3212766	3984764	3642613	2394778	2381768	2439066	2489909	5947058	5937907	5059185	4818134	4440357	4596586	4234808	1384109	1276757	366601	347362	324793	285444	285444	4865601	4865601	2814645	2814645	3159877	3159877	0	0	0	0
Tài sản ngắn hạn khác###Other Current Assets	84633	47438	208172	555525	651091	650728	1013740	610505	1504743	2100641	2254462	757099	1931569	442360	410192	410192	398643	261407	202692	102975	10870	21039	111891	80765	80765	59472	59472	44838	44838	105138	105138	306	306	0	0
Tài sản dài hạn###Non-current Assets	15497389	15493494	12611153	13063237	17176560	17151784	16268278	15860068	15263234	15500441	16762037	15823630	13283900	1929575	1968826	2251518	1157653	1271586	1332458	1454865	2446053	6150041	6127186	6871624	6871624	5226288	5226288	5541680	5541680	2144416	2144416	1407911	1407911	72068	72068
Các khoản phải thu dài hạn###Long term Account Receivable	988403	1208678	371598	213089	641661	641662	16662	16668	16661	16661	16661	13521	12173	10821	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	504287	516022	468829	473235	2395333	2395333	2009040	2037515	2397749	2415142	2415142	1392420	1266074	917138	930550	930550	941906	952196	956701	967500	967500	961323	990212	2090645	973042	435246	18089	19756	19756	19597	19597	261	261	72068	72068
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-144173	-143722	-138992	-134621	-415917	-415917	-324527	-295341	-349217	-326751	-326751	-258759	-235815	-163240	-149939	-149939	-134368	-121609	-107720	-98574	-98574	-83538	-75160	-51091	-51091	-4506	-4506	-4844	-4844	-1770	-1770	-13	-13	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-732	-692	-661	-625	-1088	-1088	-1037	-965	-862	-750	-750	-1959	-1619	-1361	-1207	-1207	-1055	-926	-774	-624	-624	-479	-342	-72	-72	-57	-57	-33	-33	-11	-11	0	0	0	0
Lợi thế thương mại	0	0	0	0	31680	31680	33930	33930	35043	36144	36144	37269	38394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	815417	923162	936111	613809	622088	622088	637405	645796	159396	144437	144437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417579	417579	891167	891167	391435	391435	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	12610442	12257838	10198109	10771785	11170636	11193497	10989364	10574787	10015137	10364918	11666858	11315812	8990105	141482	144891	144891	28500	28500	83991	188083	187616	3910983	3884093	4593609	4593609	4285221	4285221	4139315	4139315	1335000	1335000	0	0	0	0
Tài sản dài hạn khác###Other long term assets	512415	515786	524243	423445	850919	850919	805888	814568	816694	838140	838140	787028	832306	499896	520321	520321	94764	112866	116590	123856	113235	127202	128418	187370	187370	88242	88242	115325	115325	32735	32735	0	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	17046046	17116277	18612507	19442910	22545001	23293558	23013694	21831554	24243151	22862803	24267841	26761324	25099760	11959530	10341489	10451718	8397146	6801979	5938827	5390219	5379132	9444744	9721757	10328619	10328619	12607721	12607721	11179267	11179267	7600739	7600739	1928926	1928926	72079	72079
Nợ phải trả ###Liabilities	7430839	7941881	9744563	10663016	14579170	15314812	15112215	14019690	16628131	16486701	16577855	20396450	18265340	8481796	7256412	7367212	5791083	4145442	3299027	3084176	3084806	6926014	6805765	7521909	7521909	9815033	9815033	9546569	9546569	6984111	6984111	1412845	1412845	0	0
Nợ ngắn hạn###Short term Liabilities	7369579	7323647	9689752	7911415	11589277	12324919	9863966	9250797	15266851	13488530	13579685	20340019	18204039	8427694	7201030	7311831	5730530	4077367	2956079	2664557	2737346	6504482	5777063	6616505	6616505	7712033	7712033	6024876	6024876	5674069	5674069	6845	6845	0	0
Nợ dài hạn###Long term Liabilities	61260	618234	54812	2751600	2989893	2989893	5248249	4768893	1361280	2998171	2998171	56431	61301	54101	55381	55381	60553	68076	342947	419619	347460	421532	1028702	905404	905404	2103000	2103000	3521694	3521694	1310043	1310043	1406000	1406000	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	9615207	9174396	8867944	8779894	7965830	7978747	7901479	7811863	7615019	6376102	7689985	6364874	6834419	3477735	3085077	3084506	2606063	2656537	2639801	2306044	2294326	2518730	2915992	2782954	2806709	2789515	2792688	1632698	1632698	616628	616628	516081	516081	72079	72079
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	9615207	9174396	8867944	8779894	7965830	7978747	7901479	7811863	7615019	6376102	7689985	6364874	6834419	3477735	3085077	3084506	2606063	2656537	2639801	2306044	2294326	2518730	2915992	2782954	2806709	2789515	2792688	1632698	1632698	616628	616628	516081	516081	72079	72079
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23756	23756	3173	3173	3054	3054	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	7103361	3355436	3286419	110126	2262091	355873	370396	495648	1025460	10413729	6198533	1961593	1132428	1120640	1513118	1350634	71249	78488	64944	392460	169660	126868	50182	34382	8088610	5019109	3501825	890736	0	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	14714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11368	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	7103361	3355436	3286419	110126	2247377	355873	370396	495648	1025460	10413729	6198533	1961593	1132428	1120640	1513118	1350634	71249	78488	64944	381092	169660	126868	50182	34382	8088610	5019109	3501825	890736	0	0
Giá vốn hàng bán###Cost of goods sold	6225030	2924653	2932863	85250	1934595	450755	295055	411124	818742	6591361	4160824	1171745	682774	580667	821106	722448	54136	40180	56539	232892	53431	60059	58262	61140	5476668	3164086	2319019	775864	0	0
Lợi nhuận gộp###Gross profit	878331	430782	353556	24875	312782	-94882	75341	84524	206719	3822368	2037709	789847	449654	539973	692012	628186	17114	38308	8405	148200	116230	66808	-8080	-26758	2611942	1855023	1182806	114872	0	0
Doanh thu hoạt động tài chính###Financial activities Revenues	1014268	25696	57555	716652	290730	61230	18465	22680	188355	140123	42604	28880	28265	51330	548521	45291	34812	29995	382625	317168	182996	49419	42895	50733	161753	204349	145175	51662	29597	6
Chi phí tài chính###Financial Expenses	327743	78522	97289	67578	481491	70255	157982	98459	154795	241827	90101	101664	43888	0	63183	14490	14576	31765	2331	164322	34350	41704	44214	44055	703650	620737	287366	256	0	0
Chi phí bán hàng###Selling Expenses	241003	105211	106636	1548	93428	20261	521	21754	52264	952740	568654	174757	122616	89203	140787	119165	5070	14205	2347	6197	2828	2065	755	549	48392	10555	21226	17025	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	143774	-51738	77364	44955	182292	42240	48033	7337	58533	254313	89594	99924	41476	20829	78238	47139	12891	8735	9473	99862	58659	11767	13480	15956	159936	81341	46116	13289	6385	5
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2222267	571862	349581	849890	638693	127881	99551	211322	206496	2791038	1498082	698664	124880	481271	958325	492683	19389	13597	376879	553289	304936	87583	-52713	213016	1861716	1346738	615252	135964	23212	1
Thu nhập khác###Other incomes	8313	2954	2617	867	20376	1489	8737	3768	6382	39694	7844	17774	15321	4872	11547	4117	3109	3322	999	210	-740	129	-231	1134	154190	25032	30051	10251	0	0
Chi phí khác###Other Expenses	1037	0	0	1037	24123	423	15777	4806	4839	21741	11817	14527	908	606	47378	18121	11244	2202	16769	5059	4645	170	211	115	22146	16865	1810	20	0	0
Lợi nhuận khác###Other profits	7275	2954	2617	-170	-3747	1066	-7040	-1038	1542	17953	-3973	3247	14413	4266	-35831	-14005	-8135	1120	-15770	-4850	-5385	-41	-443	1019	132044	8167	28241	10232	0	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	2229542	574816	352198	849720	634946	128947	92511	210284	208038	2808990	1494110	701911	139293	485537	922494	478679	11254	14717	361108	548439	299551	87542	-53156	214035	1861965	1501412	643493	146195	23212	1
Chi phí thuế TNDN###Corporate Income Tax Expenses	570412	268364	266202	23849	104985	51680	2895	13440	28888	598483	305814	121193	78597	92879	119889	118109	508	-2019	3861	10835	6524	4820	5747	4994	443260	341422	333679	44134	7131	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	565632	268364	261422	23849	104740	51658	2868	13435	28697	599064	304848	120682	81652	91882	113101	109296	508	6	3861	22086	6524	4820	5747	4994	439018	343284	333575	46618	7131	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	4780	0	4780	0	245	21	27	6	191	-581	967	511	-3055	997	6788	8813	0	-2025	0	-11251	0	0	0	0	4242	-1863	105	-2484	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1651167	306452	83943	819961	369831	21264	36583	196844	147724	2099502	1133694	551892	33118	392658	802776	360569	10746	16735	357247	538317	293027	82721	-58903	209041	1419021	1159991	309813	102062	16081	0
---Cac Chi So Tai Chinh---																														
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	114.00	70.60	69.50	64.80	52.70	52.70	60.80	50.00	102.10	86.80	86.80	63.40	41.20	59.10	48.00	48.00	39.70	41.30	35.50	26.90	26.90	24.60	42.50	59.45	48.18	14.11	28.22	7.78	0.00	0.00
